日期,累计确诊,累计死亡,累计治愈,现存疑似,现存确诊,境外输入,死亡率,治愈率,武汉现存,武汉累计确诊,武汉累计死亡,武汉累计治愈,武汉现存疑似,国内新增
截至4月14日21时30分,83700,72,3351,78310,2039,1464,,,,,,,,
4.13,83696,3351,78262,72,2083,1464,4,93.51,3,50008,2579,47211,,99
4.12,83597,3351,78145,72,2101,1378,4.01,93.48,6,50008,2579,47186,,115
4.11,83482,3349,78020,82,2113,1280,4.01,93.46,49,302,0,17,,113
4.1,83369,3349,77935,44,2085,1183,4.02,93.48,8,319,2577,47112,,64
4.09,83305,3345,77838,53,2122,1141,4.02,93.44,3,50008,2575,47085,,56
4.08,83249,3344,77711,73,2194,1103,4.02,93.35,17,50008,2574,47036,,92
4.07,83157,3342,77586,83,2229,1042,4.02,93.3,12,50008,2572,46991,,86
4.06,83071,3340,77450,89,2281,983,4.02,93.23,12,50008,2571,46922,,66
4.05,83005,3340,77348,88,2317,951,4.02,93.18,10,50008,2571,46863,,75
4.04,82930,3338,77210,107,2382,913,4.03,93.1,11,50008,2570,46794,,55
4.03,82875,3335,76984,114,2556,888,4.02,92.89,11,50008,2567,46611,,73
4.02,82802,3331,76785,135,2686,870,4.02,92.73,12,50007,2563,46461,,78
4.01,82724,3327,76610,153,2787,842,4.02,92.61,20,50007,2559,46320,,93
3.31,82631,3321,76415,172,2895,808,4.02,92.48,26,50007,2553,46175,,86
3.3,82545,3314,76225,183,3006,771,4.01,92.34,44,50006,2548,46002,,98
3.29,82447,3311,75937,168,3199,723,4.02,92.1,17,50006,2547,45733,,106
3.28,82341,3306,75600,174,3435,693,4.02,91.81,28,50006,2543,45418,,128
3.27,82213,3301,75122,184,3790,649,4.02,91.37,29,50006,2538,44951,,135
3.26,82078,3298,74737,189,4043,595,4.02,91.06,49,50006,2535,44591,,118
3.25,81960,3293,74196,159,4471,541,4.02,90.53,58,50006,2531,44068,,114
3.24,81846,3287,73791,134,4768,474,4.02,90.16,33,50006,2526,43686,,99
3.23,81747,3283,73299,132,5165,427,4.02,89.67,35,50006,2524,43214,,147
3.22,81600,3276,72841,136,5483,353,4.01,89.27,47,50005,2517,42788,,102
3.21,81498,3267,72382,118,5849,314,4.01,88.81,45,50005,2508,42354,,82
3.2,81416,3261,71876,106,6279,269,4.01,88.28,36,50005,2504,41891,,116
3.19,81300,3253,71284,104,6763,228,4,87.68,31,50005,2498,41389,,65
3.18,81235,3250,70547,105,7438,189,4,86.84,23,50005,2496,40765,,84
3.17,81151,3242,69725,119,8184,155,4,85.92,21,50005,2490,40032,,35
3.16,81116,3231,68799,128,9086,143,3.98,84.82,45,50004,2480,39220,1,39
3.15,81077,3218,67863,134,9996,123,3.97,83.7,41,50003,2469,38384,15,29
3.14,81048,3204,67022,113,10822,111,3.95,82.69,39,49999,2456,37632,15,27
3.13,81021,3194,65649,115,12178,95,3.94,81.03,17,49995,2446,36451,30,18
3.12,81003,3180,64216,147,13607,88,3.93,79.28,33,49991,2436,35197,44,23
3.11,80980,3173,62887,253,14920,85,3.92,77.66,33,49986,2430,34094,152,25
3.1,80955,3162,61567,285,16226,79,3.91,76.05,31,49978,2423,33041,192,31
3.09,80924,3140,59982,349,17802,69,3.88,74.12,36,49965,2404,31829,230,20
3.08,80904,3123,58684,421,19097,67,3.86,72.54,60,49948,2388,30933,253,45
3.07,80859,3100,57143,458,20616,63,3.83,70.67,84,49912,2370,29770,258,46
3.06,80813,3073,55477,502,22263,60,3.8,68.65,99,49871,2349,28511,256,103
3.05,80710,3045,53793,482,23872,36,3.77,66.65,102,49797,2328,27354,232,145
3.04,80565,3015,52109,522,25441,20,3.74,64.68,143,49671,2305,26316,247,143
3.03,80422,2984,49914,520,27524,0,3.71,62.07,143,49426,2835,36208,234,120
3.02,80302,2946,47260,587,30096,0,3.67,58.85,129,49315,2803,33934,316,128
3.01,80174,2915,44518,715,32741,0,3.64,55.53,141,49122,2195,19576,340,206
2.29,79968,2873,41675,851,35420,0,3.59,52.11,132,49122,2195,19227,393,579
2.28,79389,2838,39049,1418,37502,0,3.57,49.19,248,48557,2169,17552,788,430
2.27,78959,2791,36157,2308,40011,0,3.53,45.79,452,48137,2132,15826,1488,329
2.26,78630,2747,32531,2358,43352,0,3.49,41.37,508,47824,2104,13328,1459,440
2.25,78190,2718,29775,2491,45697,0,3.48,38.08,439,47441,2085,11793,,411
2.24,77779,2666,27353,2824,47760,0,3.43,35.17,530,47071,2043,10337,,517
2.23,77262,2595,24757,3434,49910,0,3.36,32.04,620,35674,1987,8946,318,416
2.22,76846,2445,22907,4148,51494,0,3.18,29.81,882,46201,1856,8171,,454
2.21,76392,2348,20673,5365,53371,0,3.07,27.06,1361,45660,1774,7206,,399
2.2,75993,2239,18266,5206,55488,0,2.95,24.04,1614,45346,1684,6214,,1318
2.19,74675,2121,16168,4922,56386,0,2.84,21.65,1277,45027,1585,5448,,396
2.18,74279,2006,14387,5248,57886,0,2.7,19.37,1185,44412,1497,4895,,1751
2.17,72528,1870,12561,6242,58097,0,2.58,17.32,1432,42752,1381,3507,,1893
2.16,70635,1772,10853,7264,58010,0,2.51,15.36,1563,41152,1309,2925,,2051
2.15,68584,1666,9425,8228,57493,0,2.43,13.74,1918,39462,1233,2915,2168,2008
2.14,66576,1524,8101,8969,56951,0,2.29,12.17,2277,37914,1123,2023,,2644
2.13,63932,1381,6728,10109,55823,0,2.16,10.52,2450,32959,1016,2016,2585,4050
2.12,59882,1368,5915,13485,52599,0,2.28,9.88,2807,32994,1036,1380,,15152
2.11,44730,1114,4742,16067,38874,0,2.49,10.6,3342,19558,820,1242,,2022
2.1,42708,1017,3998,21675,37693,0,2.38,9.36,3536,18454,748,1052,,2473
2.09,40235,909,3283,23589,36043,0,2.26,8.16,4008,16902,681,879,,2984
2.08,37251,812,2651,28942,33788,0,2.18,7.12,3916,14982,608,747,,2653
2.07,34598,723,2052,27657,31823,0,2.09,5.93,4214,13603,545,698,,3387
2.06,31211,637,1542,26359,29032,0,2.04,4.94,4833,11618,478,459,,3151
2.05,28060,564,1153,24702,26343,0,2.01,4.11,5328,10117,414,431,,3697
2.04,24363,491,892,23260,22980,0,2.02,3.66,3971,8351,362,368,,3892
2.03,20471,425,632,23214,19414,0,2.08,3.09,5072,6384,313,317,,3233
2.02,17238,361,475,21558,16402,0,2.09,2.76,5173,5142,265,215,,2827
2.01,14411,304,328,19544,13779,0,2.11,2.28,4562,4109,224,171,,2590
1.31,11821,259,243,17988,11319,0,2.19,2.06,5019,3215,192,139,,2101
1.3,9720,213,171,15238,9336,0,2.19,1.76,4812,2639,159,103,,1984
1.29,7736,170,124,12167,7442,0,2.2,1.6,4148,2261,129,82,,1762
1.28,5974,132,103,9239,5739,0,2.21,1.72,3248,1905,104,75,,1459
1.27,4515,106,60,6973,4349,0,2.35,1.33,2077,1590,85,42,,1771
1.26,2744,80,51,5794,2613,0,2.92,1.86,3806,698,63,42,,769
1.25,1975,56,49,2684,1870,0,2.84,2.48,1309,618,45,40,,688
1.24,1287,41,38,1965,1208,0,3.19,2.95,680,572,38,32,,457
1.23,830,25,34,1072,771,0,3.01,4.1,257,495,7,30,,259
1.22,571,17,30,348,524,0,2.98,5.25,257,365,7,30,,131
1.21,440,9,25,91,406,0,2.05,5.68,91,303,7,25,,182
1.2,258,6,25,54,227,0,2.33,9.69,54,258,6,25,,60
1.19,198,4,25,,169,0,2.02,12.63,,198,4,25,,77
1.18,121,3,24,,94,0,2.48,19.83,,121,3,24,,59
1.17,62,2,19,,41,0,3.23,30.65,,62,2,19,,17
1.16,45,2,7,,36,0,4.44,15.56,,45,2,7,,4
1.15,41,1,7,,33,0,2.44,17.07,,41,1,7,,0
1.14,41,1,7,,33,0,2.44,17.07,,41,1,7,,0
1.13,41,1,7,,33,0,2.44,17.07,,41,1,7,,0
1.12,41,1,6,,34,0,2.44,14.63,,41,1,6,,0
1.11,41,1,6,,34,0,2.44,14.63,,41,1,2,,41
